ISIN	Date	Before2020
BE0002420926	2017-07-07	True
BE0002443183	2017-07-07	True
BE0002470459	2017-07-07	True
FR0010800540	2017-07-07	True
FR0010891317	2017-07-07	True
FR0010961540	2017-07-07	True
FR0010961581	2017-07-07	True
FR0011182641	2017-07-07	True
FR0011225143	2017-07-07	True
FR0011318658	2017-07-07	True
FR0011637586	2017-07-07	True
FR0013213295	2017-07-07	True
FR0013213303	2017-07-07	True
XS0342783692	2017-07-07	True
XS0367001228	2017-07-07	True
XS0409749206	2017-07-07	True
BE0002239086	2017-07-07	True
BE0002276450	2017-07-07	True
BE0002466416	2017-07-07	True
IT0004794142	2017-07-07	True
FR0010952739	2017-07-07	True
FR0011147305	2017-07-07	True
FR0011261916	2017-07-07	True
FR0011289222	2017-07-07	True
FR0011911239	2017-07-07	True
FR0011911247	2017-07-07	True
FR0012602753	2017-07-07	True
FR0012602761	2017-07-07	True
FR0013245859	2017-07-07	True
FR0013245867	2017-07-07	True
FR0013260767	2017-07-07	True
IT0004760655	2017-07-07	True
XS0954248729	2017-07-07	True
XS1639488771	2017-07-07	True
FR0013262698	2017-07-07	True
XS1111108673	2017-07-07	True
XS1086104681	2017-07-07	True
DE000A1PGZ82	2017-07-07	True
XS0997941199	2017-07-07	True
XS0997941355	2017-07-07	True
FR0011321405	2017-07-07	True
FR0012674661	2017-07-07	True
FR0013121753	2017-07-07	True
FR0013203825	2017-07-07	True
FR0013238045	2017-07-07	True
FR0011360478	2017-07-07	True
FR0012758985	2017-07-07	True
FR0013266830	2017-07-07	True
FR0013266848	2017-07-07	True
FR0012332203	2017-07-07	True
FR0011560069	2017-07-07	True
FR0011560077	2017-07-07	True
FR0013217114	2017-07-07	True
FR0013241536	2017-07-07	True
FR0013241676	2017-07-07	True
XS0541453147	2017-07-07	True
XS0563306314	2017-07-07	True
XS0616431507	2017-07-07	True
XS0794245018	2017-07-07	True
XS0827999318	2017-07-07	True
XS0911431517	2017-07-07	True
FR0012969038	2017-07-07	True
FR0013143989	2017-07-07	True
FR0013143997	2017-07-07	True
FR0013144003	2017-07-07	True
FR0013201613	2017-07-07	True
FR0013201621	2017-07-07	True
FR0013201639	2017-07-07	True
FR0011075183	2017-07-07	True
FR0011119460	2017-07-07	True
FR0011561000	2017-07-07	True
FR0012601367	2017-07-07	True
FR0012939841	2017-07-07	True
FR0013201308	2017-07-07	True
XS1558472129	2017-07-07	True
XS1622414438	2017-07-07	True
FR0010913780	2017-07-07	True
FR0011048966	2017-07-07	True
FR0011585215	2017-07-07	True
FR0012949923	2017-07-07	True
FR0013248507	2017-07-07	True
FR0013248523	2017-07-07	True
XS0974375130	2017-07-07	True
XS0830194501	2017-07-07	True
XS0994990280	2017-07-07	True
XS0994991411	2017-07-07	True
XS1048519679	2017-07-07	True
XS1139315581	2017-07-07	True
